ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand.High,PriceBand.Low,FreezeQty,TickSize,LotSize,Multiplier,displayName,ExpiryDate,TickerName,ticker
NSEFO,37501,1,CIPLA,CIPLA25FEBFUT,FUTSTK,CIPLA-FUTSTK,2505800037501,1572.6,1286.65,16251,0.05,325,1,CIPLA,2025-02-27 14:30:00,CIPLA 27FEB2025,CIPLA25FEBFUT
NSEFO,35894,1,BAJAJFINSV,BAJAJFINSV25JANFUT,FUTSTK,BAJAJFINSV-FUTSTK,2503000035894,1962.9,1606.05,15001,0.05,500,1,BAJAJFINSV,2025-01-30 14:30:00,BAJAJFINSV 30JAN2025,BAJAJFINSV25JANFUT
NSEFO,35677,1,AXISBANK,AXISBANK25JANFUT,FUTSTK,AXISBANK-FUTSTK,2503000035677,1080.2,883.8,18751,0.05,625,1,AXISBANK,2025-01-30 14:30:00,AXISBANK 30JAN2025,AXISBANK25JANFUT
NSEFO,40358,1,BPCL,BPCL25JANFUT,FUTSTK,BPCL-FUTSTK,2503000040358,282.1,230.85,72001,0.05,1800,1,BPCL,2025-01-30 14:30:00,BPCL 30JAN2025,BPCL25JANFUT
NSEFO,35311,1,BAJAJ-AUTO,BAJAJ-AUTO25FEBFUT,FUTSTK,BAJAJ-AUTO-FUTSTK,2505800035311,9525.75,7793.8,3001,0.05,75,1,BAJAJ-AUTO,2025-02-27 14:30:00,BAJAJ-AUTO 27FEB2025,BAJAJ-AUTO25FEBFUT
NSEFO,42493,1,RELIANCE,RELIANCE25JANFUT,FUTSTK,RELIANCE-FUTSTK,2503000042493,1357.1,1110.35,20001,0.05,500,1,RELIANCE,2025-01-30 14:30:00,RELIANCE 30JAN2025,RELIANCE25JANFUT
NSEFO,35457,1,BRITANNIA,BRITANNIA25FEBFUT,FUTSTK,BRITANNIA-FUTSTK,2505800035457,5524.6,4520.15,5001,0.05,100,1,BRITANNIA,2025-02-27 14:30:00,BRITANNIA 27FEB2025,BRITANNIA25FEBFUT
NSEFO,42506,1,SUNPHARMA,SUNPHARMA25JANFUT,FUTSTK,SUNPHARMA-FUTSTK,2503000042506,1911.05,1563.6,14001,0.05,350,1,SUNPHARMA,2025-01-30 14:30:00,SUNPHARMA 30JAN2025,SUNPHARMA25JANFUT
NSEFO,41463,1,TECHM,TECHM25FEBFUT,FUTSTK,TECHM-FUTSTK,2505800041463,1850.15,1513.8,18001,0.05,600,1,TECHM,2025-02-27 14:30:00,TECHM 27FEB2025,TECHM25FEBFUT
NSEFO,40360,1,BRITANNIA,BRITANNIA25JANFUT,FUTSTK,BRITANNIA-FUTSTK,2503000040360,5518.7,4515.3,5001,0.05,100,1,BRITANNIA,2025-01-30 14:30:00,BRITANNIA 30JAN2025,BRITANNIA25JANFUT
NSEFO,40997,1,HDFCLIFE,HDFCLIFE25JANFUT,FUTSTK,HDFCLIFE-FUTSTK,2503000040997,689.5,564.15,33001,0.05,1100,1,HDFCLIFE,2025-01-30 14:30:00,HDFCLIFE 30JAN2025,HDFCLIFE25JANFUT
NSEFO,38452,1,DIVISLAB,DIVISLAB25FEBFUT,FUTSTK,DIVISLAB-FUTSTK,2505800038452,6218.8,5088.15,4001,0.05,100,1,DIVISLAB,2025-02-27 14:30:00,DIVISLAB 27FEB2025,DIVISLAB25FEBFUT
NSEFO,41017,1,ICICIBANK,ICICIBANK25JANFUT,FUTSTK,ICICIBANK-FUTSTK,2503000041017,1374.15,1124.3,21001,0.05,700,1,ICICIBANK,2025-01-30 14:30:00,ICICIBANK 30JAN2025,ICICIBANK25JANFUT
NSEFO,40726,1,COALINDIA,COALINDIA25JANFUT,FUTSTK,COALINDIA-FUTSTK,2503000040726,416.45,340.7,52501,0.05,1050,1,COALINDIA,2025-01-30 14:30:00,COALINDIA 30JAN2025,COALINDIA25JANFUT
NSEFO,35154,1,ASIANPAINT,ASIANPAINT25FEBFUT,FUTSTK,ASIANPAINT-FUTSTK,2505800035154,2456.75,2010.1,8001,0.05,200,1,ASIANPAINT,2025-02-27 14:30:00,ASIANPAINT 27FEB2025,ASIANPAINT25FEBFUT
NSEFO,35414,1,ASIANPAINT,ASIANPAINT25JANFUT,FUTSTK,ASIANPAINT-FUTSTK,2503000035414,2444.55,2000.1,8001,0.05,200,1,ASIANPAINT,2025-01-30 14:30:00,ASIANPAINT 30JAN2025,ASIANPAINT25JANFUT
NSEFO,40848,1,DRREDDY,DRREDDY25JANFUT,FUTSTK,DRREDDY-FUTSTK,2503000040848,1301.25,1064.7,18751,0.05,625,1,DRREDDY,2025-01-30 14:30:00,DRREDDY 30JAN2025,DRREDDY25JANFUT
NSEFO,38806,1,HINDUNILVR,HINDUNILVR25FEBFUT,FUTSTK,HINDUNILVR-FUTSTK,2505800038806,2636.85,2157.4,9001,0.05,300,1,HINDUNILVR,2025-02-27 14:30:00,HINDUNILVR 27FEB2025,HINDUNILVR25FEBFUT
NSEFO,38675,1,HCLTECH,HCLTECH25FEBFUT,FUTSTK,HCLTECH-FUTSTK,2505800038675,1903.15,1557.1,14001,0.05,350,1,HCLTECH,2025-02-27 14:30:00,HCLTECH 27FEB2025,HCLTECH25FEBFUT
NSEFO,40723,1,CIPLA,CIPLA25JANFUT,FUTSTK,CIPLA-FUTSTK,2503000040723,1563.5,1279.25,16251,0.05,325,1,CIPLA,2025-01-30 14:30:00,CIPLA 30JAN2025,CIPLA25JANFUT
NSEFO,35339,1,APOLLOHOSP,APOLLOHOSP25JANFUT,FUTSTK,APOLLOHOSP-FUTSTK,2503000035339,7443.7,6090.3,3751,0.05,125,1,APOLLOHOSP,2025-01-30 14:30:00,APOLLOHOSP 30JAN2025,APOLLOHOSP25JANFUT
NSEFO,42541,1,TITAN,TITAN25JANFUT,FUTSTK,TITAN-FUTSTK,2503000042541,3703,3029.75,7001,0.05,175,1,TITAN,2025-01-30 14:30:00,TITAN 30JAN2025,TITAN25JANFUT
NSEFO,42554,1,UPL,UPL25JANFUT,FUTSTK,UPL-FUTSTK,2503000042554,608.5,497.85,40651,0.05,1355,1,UPL,2025-01-30 14:30:00,UPL 30JAN2025,UPL25JANFUT
NSEFO,40838,1,DIVISLAB,DIVISLAB25JANFUT,FUTSTK,DIVISLAB-FUTSTK,2503000040838,6197.7,5070.85,4001,0.05,100,1,DIVISLAB,2025-01-30 14:30:00,DIVISLAB 30JAN2025,DIVISLAB25JANFUT
NSEFO,41498,1,TITAN,TITAN25FEBFUT,FUTSTK,TITAN-FUTSTK,2505800041498,3722.85,3046,7001,0.05,175,1,TITAN,2025-02-27 14:30:00,TITAN 27FEB2025,TITAN25FEBFUT
NSEFO,42522,1,TATASTEEL,TATASTEEL25JANFUT,FUTSTK,TATASTEEL-FUTSTK,2503000042522,143.63,117.51,165001,0.01,5500,1,TATASTEEL,2025-01-30 14:30:00,TATASTEEL 30JAN2025,TATASTEEL25JANFUT
NSEFO,42488,1,POWERGRID,POWERGRID25JANFUT,FUTSTK,POWERGRID-FUTSTK,2503000042488,316.35,258.8,72001,0.05,1800,1,POWERGRID,2025-01-30 14:30:00,POWERGRID 30JAN2025,POWERGRID25JANFUT
NSEFO,38966,1,IOC,IOC25FEBFUT,FUTSTK,IOC-FUTSTK,2505800038966,136.8,111.92,195001,0.01,4875,1,IOC,2025-02-27 14:30:00,IOC 27FEB2025,IOC25FEBFUT
NSEFO,41452,1,TATASTEEL,TATASTEEL25FEBFUT,FUTSTK,TATASTEEL-FUTSTK,2505800041452,144.4,118.14,165001,0.01,5500,1,TATASTEEL,2025-02-27 14:30:00,TATASTEEL 27FEB2025,TATASTEEL25FEBFUT
NSEFO,40369,1,NTPC,NTPC25FEBFUT,FUTSTK,NTPC-FUTSTK,2505800040369,352.35,288.3,60001,0.05,1500,1,NTPC,2025-02-27 14:30:00,NTPC 27FEB2025,NTPC25FEBFUT
NSEFO,42468,1,ONGC,ONGC25JANFUT,FUTSTK,ONGC-FUTSTK,2503000042468,276.6,226.31,96251,0.01,1925,1,ONGC,2025-01-30 14:30:00,ONGC 30JAN2025,ONGC25JANFUT
NSEFO,41005,1,HINDALCO,HINDALCO25JANFUT,FUTSTK,HINDALCO-FUTSTK,2503000041005,643.1,526.15,42001,0.05,1400,1,HINDALCO,2025-01-30 14:30:00,HINDALCO 30JAN2025,HINDALCO25JANFUT
NSEFO,35456,1,BPCL,BPCL25FEBFUT,FUTSTK,BPCL-FUTSTK,2505800035456,283.6,232.05,72001,0.05,1800,1,BPCL,2025-02-27 14:30:00,BPCL 27FEB2025,BPCL25FEBFUT
NSEFO,40474,1,ONGC,ONGC25FEBFUT,FUTSTK,ONGC-FUTSTK,2505800040474,275.17,225.14,96251,0.01,1925,1,ONGC,2025-02-27 14:30:00,ONGC 27FEB2025,ONGC25FEBFUT
NSEFO,42526,1,TECHM,TECHM25JANFUT,FUTSTK,TECHM-FUTSTK,2503000042526,1847.55,1511.6,18001,0.05,600,1,TECHM,2025-01-30 14:30:00,TECHM 30JAN2025,TECHM25JANFUT
